theta_arcmin,THIBOS_ONLY,THIBOS_PLUS_ARIAS,CIE_RAW
2.910795434241475377e+01,5.021237161284484607e+00,1.257526428487437045e+02,1.481025830256910467e+02
2.996730185187098883e+01,4.552494340845095522e+00,1.188671611757239361e+02,1.363110005187937475e+02
3.085201968221344870e+01,3.898230479179170871e+00,1.078918394915127550e+02,1.254637437258001427e+02
3.176285683564995210e+01,3.446898176533824021e+00,1.005899449058254191e+02,1.154852686985799295e+02
3.270058442700999279e+01,3.099895260629527804e+00,9.494764038610750845e+01,1.063060183931616791e+02
3.366599633657062896e+01,3.050530767944517940e+00,8.725509822341530253e+01,9.786195812291111906e+01
3.465990988215558843e+01,3.078713340646445307e+00,8.119461620063830765e+01,9.009414562387028980e+01
3.568316651107666360e+01,2.758929166386560272e+00,7.575390033846159099e+01,8.294833334885058207e+01
3.673663251250306416e+01,2.487158516695210597e+00,6.902184595230917807e+01,7.637460074452513936e+01
3.782119975086191488e+01,2.191432138292530585e+00,6.424824802281364100e+01,7.032701439920278119e+01
3.893778642089080932e+01,2.083026773522736352e+00,6.003704667456301536e+01,6.476331407770317128e+01
4.008733782498156728e+01,2.116324251162631231e+00,5.585908927627327358e+01,5.964462278345204282e+01
4.127082717347319374e+01,1.781184935702277095e+00,5.214913970174196578e+01,5.493517910632549928e+01
4.248925640857211761e+01,1.590537769187203132e+00,4.764470774382022711e+01,5.060209022775212162e+01
4.374365705259637593e+01,1.451733815334141031e+00,4.445615869506902129e+01,4.661510406207035828e+01
4.503509108126257132e+01,1.247003899477774125e+00,4.155613994833306180e+01,4.294639911510699903e+01
4.636465182275462382e+01,1.259332613850916882e+00,3.875545060816943277e+01,3.957039073746597779e+01
4.773346488333551463e+01,1.118661734894679682e+00,3.464504825780137054e+01,3.646355254116583922e+01
4.914268910028569337e+01,1.057742660882227792e+00,3.267084936713698085e+01,3.360425183417222428e+01
5.059351752297480687e+01,9.129509072329419217e-01,3.051326131554368004e+01,3.097259800818985909e+01
5.208717842289745903e+01,8.862251573774654334e-01,2.802420132536913044e+01,2.855030289097704710e+01
5.362493633352795541e+01,8.288486430388227744e-01,2.605672647594815672e+01,2.632055214561503220e+01
5.520809312087446585e+01,8.115125825427740303e-01,2.429297237296081136e+01,2.426788686580123056e+01
5.683798908563903041e+01,6.589951598048173764e-01,2.246926508475470996e+01,2.237809457854602613e+01
5.851600409791599589e+01,6.043774216610738881e-01,2.069524624362388465e+01,2.063810892384618256e+01
6.024355876539055288e+01,5.685350657738026392e-01,1.937900282931477491e+01,1.903591733519118279e+01
6.202211563602510580e+01,4.634170389203825513e-01,1.776676771438972224e+01,1.756047609534722298e+01
6.385318043625260032e+01,4.264038980078611596e-01,1.641440837446150880e+01,1.620163218895280011e+01
6.573830334572467393e+01,4.254812214163134487e-01,1.544893559666355642e+01,1.495005141726004716e+01
6.767908030969391575e+01,3.610567144772593995e-01,1.428418942399983038e+01,1.379715228105665226e+01
6.967715439014126844e+01,3.850906644028787573e-01,1.341891620314126321e+01,1.273504517559513616e+01
7.173421715679249644e+01,3.130062870381447593e-01,1.219512411732825719e+01,1.175647647642119509e+01
7.385201011920128167e+01,3.142352304770417160e-01,1.142591975531518322e+01,1.085477712750440560e+01
7.603232620111138829e+01,3.103962036799792767e-01,1.050345809727163804e+01,1.002381537319901028e+01
7.827701125834619234e+01,2.506885669285253138e-01,9.841566222072176018e+00,9.257953303458279493e+00
8.058796564151006692e+01,2.295925270967423548e-01,8.961470039321156378e+00,8.552006907543391989e+00
8.296714580482590407e+01,2.364658477831376171e-01,8.407531772400487213e+00,7.901209355347334373e+00
8.541656596246913580e+01,2.070952721015129616e-01,7.772039441656069414e+00,7.301177247533822801e+00
8.793829979380173256e+01,1.747750185042194482e-01,7.167880973912235554e+00,6.747879596092161592e+00
9.053448219894940507e+01,1.820504404031997314e-01,6.648126094445804490e+00,6.237609315754790273e+00
9.320731110620826598e+01,1.457504107105110636e-01,6.129246310538974285e+00,5.766957024123986919e+00
9.595904933281109095e+01,1.417690808247882295e-01,5.773013095615996626e+00,5.332786964413054775e+00
9.879202650062872237e+01,1.227157649928525135e-01,5.316122561933453561e+00,4.932214879523741935e+00
1.017086410084281169e+02,1.141929216798815844e-01,4.914572043560611725e+00,4.562587679846559219e+00
1.047113620623570540e+02,1.173715118196776153e-01,4.590039597664230087e+00,4.221464759769786745e+00
1.078027317663743503e+02,1.029322831909154495e-01,4.261894669053626572e+00,3.906600829495966209e+00
1.109853672743949602e+02,9.120817043399881419e-02,3.944309031312338565e+00,3.615930139465652005e+00
1.142619630059734135e+02,7.466140305051888193e-02,3.638081638091877235e+00,3.347551984546060400e+00
