theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
6.521362844419015259e-01,7.466901319396836916e+05,8.820935380221285982e+01,3.024657458578903779e-01
6.665111445004396895e-01,7.092685193977558520e+05,8.752316507002353774e+01,3.061324842387692646e-01
6.812028656302483443e-01,6.736692089468158083e+05,8.683546404180646050e+01,3.097705484543950560e-01
6.962184323124337437e-01,6.398213163235434331e+05,8.614840442891984651e+01,3.133799205046138292e-01
7.115649829850910768e-01,6.076545900697546313e+05,8.546403978291137093e+01,3.169606699397914396e-01
7.272498134369351774e-01,5.771000557678868063e+05,8.478438075401130902e+01,3.205129517706615250e-01
7.432803802757372846e-01,5.480904291160972789e+05,8.411143766006313172e+01,3.240370042632785275e-01
7.596643044732148686e-01,5.205593023790751467e+05,8.344708127342173043e+01,3.275331466755700971e-01
7.764093749880607298e-01,4.944421928508410347e+05,8.279318017298146515e+01,3.310017769301989987e-01
7.935235524688335484e-01,4.696762800345984870e+05,8.215155151227816077e+01,3.344433692139565650e-01
8.110149730384701439e-01,4.462001688176632742e+05,8.152390496444893131e+01,3.378584715608860534e-01
8.288919521622192255e-01,4.239545442753801472e+05,8.091194480257109944e+01,3.412477033809506732e-01
8.471629886008333887e-01,4.028817360809075763e+05,8.031728634270653799e+01,3.446117529563114124e-01
8.658367684509022943e-01,3.829258596775409533e+05,7.974147126568395549e+01,3.479513749359796071e-01
8.849221692742443857e-01,3.640331503846968990e+05,7.918603251900829321e+01,3.512673877835902347e-01
9.044282643183219061e-01,3.461514197042434826e+05,7.865237994178185943e+01,3.545606712217273526e-01
9.243643268296860560e-01,3.292304843494847300e+05,7.814188685651906496e+01,3.578321636658142735e-01
9.447398344625010935e-01,3.132221667724585859e+05,7.765589758707926649e+01,3.610828596229042065e-01
9.655644737842452585e-01,2.980798669160102727e+05,7.719562708563366016e+01,3.643138070939926365e-01
9.868481448807293610e-01,2.837590344386555953e+05,7.676227810731178636e+01,3.675261049516557743e-01
1.008600966062622062e+00,2.702168967092624516e+05,7.635698309930026539e+01,3.707209002848496082e-01
1.030833278675720166e+00,2.574123478621730465e+05,7.598077799889095729e+01,3.738993857435430335e-01
1.053555652017250877e+00,2.453062003954384418e+05,7.563468238343271821e+01,3.770627968346943470e-01
