# DIGITIZED_EXTERNAL_VALIDATION; Ginis et al. 2012 J Vis 12(3):20; y = Log(PSF) as printed (log10 of PSF in sr^-1, see README)
curve,theta_deg,log10_psf
GP,2.4585,0.5937
GP,2.4622,0.5937
GP,2.4659,0.5883
GP,2.4696,0.5883
GP,2.4733,0.5883
GP,2.4770,0.5857
GP,2.4807,0.5830
GP,2.4844,0.5830
GP,2.4881,0.5830
GP,2.4917,0.5777
GP,2.4954,0.5777
GP,2.4991,0.5777
GP,2.5028,0.5777
GP,2.5065,0.5723
GP,2.5102,0.5723
GP,2.5139,0.5723
GP,2.5176,0.5723
GP,2.5213,0.5670
GP,2.5250,0.5670
GP,2.5287,0.5670
GP,2.5324,0.5670
GP,2.5361,0.5644
GP,2.5398,0.5617
GP,2.5435,0.5617
GP,2.5472,0.5617
GP,2.5509,0.5617
GP,2.5546,0.5617
GP,2.5583,0.5590
GP,2.5620,0.5564
GP,2.5657,0.5510
GP,2.5694,0.5510
GP,2.5731,0.5510
GP,2.5768,0.5510
GP,2.5805,0.5510
GP,2.5842,0.5457
GP,2.5879,0.5457
GP,2.5916,0.5457
GP,2.5953,0.5457
GP,2.5990,0.5457
GP,2.6027,0.5430
GP,2.6064,0.5430
GP,2.6101,0.5404
GP,2.6138,0.5404
GP,2.6175,0.5404
GP,2.6212,0.5377
GP,2.6248,0.5324
GP,2.6285,0.5297
GP,2.6322,0.5297
GP,2.6359,0.5297
GP,2.6396,0.5297
GP,2.6433,0.5271
GP,2.6470,0.5244
GP,2.6507,0.5244
GP,2.6544,0.5244
GP,2.6581,0.5244
GP,2.6618,0.5244
GP,2.6655,0.5191
GP,2.6692,0.5191
GP,2.6729,0.5191
GP,2.6766,0.5164
GP,2.6803,0.5164
GP,2.6840,0.5111
GP,2.6877,0.5111
GP,2.6914,0.5057
GP,2.6951,0.5057
GP,2.6988,0.5057
GP,2.7025,0.5057
GP,2.7062,0.5031
GP,2.7099,0.5031
GP,2.7136,0.5004
GP,2.7173,0.5004
GP,2.7210,0.5004
GP,2.7247,0.4977
GP,2.7284,0.4977
GP,2.7321,0.4977
GP,2.7358,0.4977
GP,2.7395,0.4951
GP,2.7432,0.4924
GP,2.7469,0.4924
GP,2.7506,0.4898
GP,2.7542,0.4871
GP,2.7579,0.4871
GP,2.7616,0.4871
GP,2.7653,0.4871
GP,2.7690,0.4871
GP,2.7727,0.4818
GP,2.7764,0.4818
GP,2.7801,0.4818
GP,2.7838,0.4818
GP,2.7875,0.4791
GP,2.7912,0.4764
GP,2.7949,0.4764
GP,2.7986,0.4764
GP,2.8023,0.4738
GP,2.8060,0.4711
GP,2.8097,0.4711
GP,2.8134,0.4711
GP,2.8171,0.4711
GP,2.8208,0.4684
GP,2.8245,0.4684
GP,2.8282,0.4684
GP,2.8319,0.4658
GP,2.8356,0.4658
GP,2.8393,0.4631
GP,2.8430,0.4631
GP,2.8467,0.4631
GP,2.8504,0.4604
GP,2.8541,0.4578
GP,2.8578,0.4578
GP,2.8615,0.4525
GP,2.8652,0.4498
GP,2.8689,0.4498
GP,2.8726,0.4498
GP,2.8763,0.4471
GP,2.8800,0.4445
GP,2.8837,0.4445
GP,2.8873,0.4445
GP,2.8910,0.4445
GP,2.8947,0.4445
GP,2.8984,0.4418
GP,2.9021,0.4391
GP,2.9058,0.4391
GP,2.9095,0.4391
GP,2.9132,0.4391
GP,2.9169,0.4391
GP,2.9206,0.4338
GP,2.9243,0.4311
GP,2.9280,0.4311
GP,2.9317,0.4311
GP,2.9354,0.4285
GP,2.9391,0.4285
GP,2.9428,0.4285
GP,2.9465,0.4285
GP,2.9502,0.4258
GP,2.9539,0.4258
GP,2.9576,0.4231
GP,2.9613,0.4231
GP,2.9650,0.4231
GP,2.9687,0.4231
GP,2.9724,0.4205
GP,2.9761,0.4205
GP,2.9798,0.4178
GP,2.9835,0.4152
GP,2.9872,0.4152
GP,2.9909,0.4125
GP,2.9946,0.4125
GP,2.9983,0.4125
GP,3.0020,0.4098
GP,3.0057,0.4098
GP,3.0094,0.4072
GP,3.0131,0.4045
GP,3.0168,0.4045
GP,3.0204,0.4045
GP,3.0241,0.4018
GP,3.0278,0.3992
GP,3.0315,0.3992
GP,3.0352,0.3992
GP,3.0389,0.3992
GP,3.0426,0.3992
GP,3.0463,0.3965
GP,3.0500,0.3938
GP,3.0537,0.3938
GP,3.0574,0.3938
GP,3.0611,0.3938
GP,3.0648,0.3938
GP,3.0685,0.3885
GP,3.0722,0.3885
GP,3.0759,0.3885
GP,3.0796,0.3885
GP,3.0833,0.3885
GP,3.0870,0.3858
GP,3.0907,0.3832
GP,3.0944,0.3832
GP,3.0981,0.3805
GP,3.1018,0.3805
GP,3.1055,0.3805
GP,3.1092,0.3779
GP,3.1129,0.3752
GP,3.1166,0.3752
GP,3.1203,0.3752
GP,3.1240,0.3752
GP,3.1277,0.3752
GP,3.1314,0.3752
GP,3.1351,0.3699
GP,3.1388,0.3699
GP,3.1425,0.3699
GP,3.1462,0.3699
GP,3.1498,0.3672
GP,3.1535,0.3645
GP,3.1572,0.3592
GP,3.1609,0.3592
GP,3.1646,0.3592
GP,3.1683,0.3592
GP,3.1720,0.3592
GP,3.1757,0.3592
GP,3.1794,0.3592
GP,3.1831,0.3592
GP,3.1868,0.3565
GP,3.1905,0.3539
GP,3.1942,0.3539
